date,price,per_chg_from_day_prior
2000-01-04,139.75,-0.03910614525139665
2000-01-05,140,0.0017889087656529517
2000-01-06,137.75,-0.01607142857142857
2000-01-07,145.75,0.05807622504537205
2000-01-10,146.25,0.003430531732418525
2000-01-11,144.5,-0.011965811965811967
2000-01-12,143.0625,-0.009948096885813149
2000-01-13,145,0.013543031891655745
2000-01-14,146.96875,0.013577586206896551
2000-01-18,145.8125,-0.007867318732723793
2000-01-19,147,0.008144020574367767
2000-01-20,144.75,-0.015306122448979591
2000-01-21,144.4375,-0.002158894645941278
2000-01-24,140.34375,-0.028342708784076156
2000-01-25,141.9375,0.011356045424181697
2000-01-26,140.8125,-0.007926023778071334
2000-01-27,140.25,-0.0039946737683089215
2000-01-28,135.875,-0.031194295900178252
2000-01-31,139.5625,0.027138914443422264
2000-02-01,140.9375,0.009852216748768473
2000-02-02,141.0625,8.869179600886918e-4
2000-02-03,143.1875,0.015064244572441293
2000-02-04,142.59375,-0.004146660846791794
2000-02-07,142.375,-0.0015340784571553803
2000-02-08,144.3125,0.013608428446005268
2000-02-09,141.28125,-0.021004763967085317
2000-02-10,141.5625,0.0019907100199071004
2000-02-11,138.6875,-0.020309050772626933
2000-02-14,139.5,0.005858494817485353
2000-02-15,141.078125,0.011312724014336917
2000-02-16,139,-0.014730313434488869
2000-02-17,138.28125,-0.005170863309352518
2000-02-18,135.3125,-0.021468926553672316
2000-02-22,134.96875,-0.002540415704387991
2000-02-23,136.5625,0.0118082889557768
2000-02-24,133.8125,-0.020137299771167048
2000-02-25,133.328125,-0.003619803829985988
2000-02-28,136.125,0.0209773819289816
2000-02-29,137.4375,0.009641873278236915
2000-03-01,138.4375,0.007276034561164165
2000-03-02,138.53125,6.772009029345372e-4
2000-03-03,141.125,0.018723212271599367
2000-03-06,139.75,-0.0097431355181576609
2000-03-07,137.046875,-0.01934257602862254
2000-03-08,136.875,-0.0012541329380914377
2000-03-09,140.875,0.029223744292237442
2000-03-10,140.125,-0.005323868677905945
2000-03-13,138.59375,-0.010927743086529884
2000-03-14,136.625,-0.014205186020293123
2000-03-15,139.8125,0.02333028362305581
2000-03-16,146.34375,0.046714349575324096
2000-03-17,146.9375,0.004057228272474909
2000-03-20,146.1875,-0.005104210974053594
2000-03-21,149.1875,0.020521590423257803
2000-03-22,150.09375,0.006074570590699623
2000-03-23,152.65625,0.01707266291900895
2000-03-24,153.5625,0.00593654042988741
2000-03-27,151.9375,-0.010582010582010581
2000-03-28,151.0625,-0.005758946935417524
2000-03-29,151.21875,0.001034340091021928
2000-03-30,148.6875,-0.016738995660260384
2000-03-31,150.375,0.011349306431273645
2000-04-03,151.25,0.005818786367414797
2000-04-04,150.125,-0.00743801652892562
2000-04-05,149.1875,-0.0062447960033305576
2000-04-06,150.484375,0.008692919983242564
2000-04-07,151.4375,0.006333714048385422
2000-04-10,150.84375,-0.003920759389186958
2000-04-11,150.40625,-0.00290035218562254
2000-04-12,146.28125,-0.027425722002908787
2000-04-13,144.25,-0.013885921811578723
2000-04-14,136,-0.05719237435008666
2000-04-17,140.75,0.034926470588235295
2000-04-18,144.46875,0.02642095914742451
2000-04-19,143.125,-0.009301319489508977
2000-04-20,143.8125,0.00480349344978166
2000-04-24,142.25,-0.01086484137331595
2000-04-25,148.15625,0.04152021089630931
2000-04-26,146.484375,-0.011284539126766505
2000-04-27,146,-0.0033066666666666665
2000-04-28,145.09375,-0.0062071917808219175
2000-05-01,147.0625,0.013568813267284083
2000-05-02,144.125,-0.01997450063748406
2000-05-03,140.75,-0.023417172593235037
2000-05-04,141.8125,0.007548845470692718
2000-05-05,143.53125,0.012119876597620097
2000-05-08,142.453125,-0.007511430437622469
2000-05-09,141.3125,-0.008007019853021827
2000-05-10,138.125,-0.022556390977443608
2000-05-11,141.28125,0.022850678733031673
2000-05-12,142.8125,0.010838310108383101
2000-05-15,145.28125,0.01728665207877462
2000-05-16,146.6875,0.009679500967950097
2000-05-17,145.15625,-0.010438858116744781
2000-05-18,143.375,-0.012271259418729818
2000-05-19,141.125,-0.015693112467306015
2000-05-22,140.0625,-0.0075287865367581934
2000-05-23,138,-0.014725568942436412
2000-05-24,140.25,0.016304347826086956
2000-05-25,137.84375,-0.01715686274509804
2000-05-26,138,0.0011335298118340512
2000-05-30,142.5,0.03260869565217391
2000-05-31,142.8125,0.0021929824561403508
2000-06-01,145.3125,0.0175054704595186
2000-06-02,147.84375,0.017419354838709676
2000-06-05,147.125,-0.004861551469034031
2000-06-06,146.46875,-0.0044604927782497875
2000-06-07,147.484375,0.006934072967783231
2000-06-08,146.90625,-0.0039199067697849345
2000-06-09,146.59375,-0.0021272069772388853
2000-06-12,144.875,-0.0117245789810275
2000-06-13,147.59375,0.018766177739430543
2000-06-14,147.84375,0.0016938386618674571
2000-06-15,148.15625,0.002113718030014796
2000-06-16,146.59375,-0.01054629824931449
2000-06-19,148.46875,0.012790449797484544
2000-06-20,147.9375,-0.003578194064407493
2000-06-21,147.875,-4.224757076468103e-4
2000-06-22,145.625,-0.015215553677092139
2000-06-23,144.375,-0.008583690987124463
2000-06-26,146.234375,0.012878787878787878
2000-06-27,145.15625,-0.007372582540869751
2000-06-28,145.5625,0.002798708288482239
2000-06-29,144.1875,-0.009446114212108201
2000-06-30,145.28125,0.007585609016038145
2000-07-03,147.28125,0.013766401376640139
2000-07-05,144.625,-0.018035221727137705
2000-07-06,145.75,0.007778738115816767
2000-07-07,148.09375,0.016080617495711835
2000-07-10,147.84375,-0.0016881198565098122
2000-07-11,148.15625,0.002113718030014796
